dataset,energy_TeV,rapidity,centrality,method,pt_low,pt_high,value,stat,fit_pvalue,fit_status,cov_qual,source
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,3,4.5,0.160322918,0.0158314254,0.104312587,0,2,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt3.00_4.50.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,4.5,5.5,0.222277586,0.00947365204,0.930427427,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt4.50_5.50.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,5.5,6.5,0.243180878,0.00609038199,0.407998476,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt5.50_6.50.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,6.5,7.5,0.268007215,0.00861804339,0.785017258,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt6.50_7.50.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,7.5,8.5,0.285883678,0.0116690716,0.604147723,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt7.50_8.50.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,8.5,9.5,0.291170478,0.012949705,0.645293607,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt8.50_9.50.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,9.5,11,0.325534091,0.00784718254,0.10165695,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt9.50_11.00.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,11,15,0.386691753,0.0132707821,0.55537457,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt11.00_15.00.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,15,20,0.470539783,0.0223895379,0.828739592,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt15.00_20.00.root
current_subrange,5.02,1.8<|y|<2.4,0-90%,mass-subrange signal yields + ctau fit,20,40,0.454819315,0.0233333331,0.0103943537,0,3,/data/hwan/RAA_subrange_fit/./pb_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_c0_180_y1.80_2.40_pt20.00_40.00.root
