idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	0	0	0	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	1	25	1	0	0	0
3	-3	-2	1	25	0	0	0	0
4	-2	-1	8	25	3	2	0	1.5
5	-1	-0.5	52	25	19	17	10	0.7037037
6	-0.5	-0.25	211	25	67	84	43	0.52755906
7	-0.25	-0.1	1027	25	383	307	215	0.73371648
8	-0.1	0	14442	100	10144	1936	1574	2.8900285
9	0	0.1	17686	100	12561	2405	1806	2.9829019
10	0.1	0.25	4957	100	3497	899	358	2.7820207
11	0.25	0.5	3999	89	3089	682	141	3.7533414
12	0.5	1	2940	65	2338	482	65	4.274223
13	1	2	959	25	726	174	30	3.5588235
14	2	3	69	25	47	20	0	2.35
15	3	5	8	25	5	3	0	1.6666667
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
