idx	ctLow	ctHigh	entries	massBins	jpsiWindow_2p976_3p216	leftSide_2p60_2p90	rightSide_3p30_3p50	jpsiOverSide
0	-20	-10	1	25	1	0	0	0
1	-10	-5	0	0	0	0	0	0
2	-5	-3	4	25	1	2	1	0.33333333
3	-3	-2	13	25	3	4	3	0.42857143
4	-2	-1	36	25	14	8	6	1
5	-1	-0.5	155	25	57	53	30	0.68674699
6	-0.5	-0.25	734	25	254	257	152	0.62102689
7	-0.25	-0.1	3793	84	1457	1134	784	0.75964546
8	-0.1	0	60016	100	44367	7178	5701	3.4449103
9	0	0.1	73280	100	54662	9049	6318	3.5571029
10	0.1	0.25	20205	100	14546	3498	1328	3.0140903
11	0.25	0.5	17046	100	13195	2790	624	3.8649678
12	0.5	1	12591	100	9869	2126	337	4.0069022
13	1	2	4293	95	3237	863	103	3.3509317
14	2	3	373	25	265	99	2	2.6237624
15	3	5	30	25	17	12	1	1.3076923
16	5	10	0	0	0	0	0	0
17	10	20	0	0	0	0	0	0
