dataset,energy_TeV,rapidity,method,pt_low,pt_high,value,stat,syst,fit_pvalue,source
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,3,4.5,0.138408751,0.00354234943,0,0.0950242555,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt3.00_4.50.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,4.5,5.5,0.151072166,0.0022663899,0,0.977114241,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt4.50_5.50.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,5.5,6.5,0.171258247,0.00113615169,0,0.00295849111,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt5.50_6.50.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,6.5,7.5,0.190839623,0.00181217438,0,2.57905375e-16,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt6.50_7.50.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,7.5,8.5,0.227570977,0.00229433612,0,0.332518275,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt7.50_8.50.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,8.5,9.5,0.250497514,0.00246684384,0,0.765355333,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt8.50_9.50.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,9.5,11,0.286276858,0.00270019176,0,0.209175703,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt9.50_11.00.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,11,15,0.336913989,0.00404617743,0,0.887542778,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt11.00_15.00.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,15,20,0.416809709,0.00448951089,0,0.970170625,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt15.00_20.00.root
current_subrange,5.02,1.8<|y|<2.4,mass-subrange signal yields + ctau fit,20,40,0.503555523,0.00894573848,0,0.368433026,/data/hwan/RAA_subrange_fit/pp_jpsi/drawing/b_frac/../../roots/y1.80_2.40/subrange/subrange_result_y1.80_2.40_pt20.00_40.00.root
legacy_2D_fit,5.02,1.8<|y|<2.4,mass-ctau 2D fit,3,4.5,0.150112852,0.000497003028,0,,/data/hwan/psi2S_RAA_PbPb2018/Macros/pp_Jpsi/roots/2DFit_No_Weight/Final/2DFitResult_pt3.0-4.5_y1.8-2.4_muPt0.0_PRw_Effw0_Accw0_PtW0_TnP0.root
